data,mes,ano,cliente,processo,area,advogado,status_recebimento,honorarios_previstos,honorarios_recebidos,horas_trabalhadas,valor,empresa
2025-07-01,Julho,2025,Atlas Ltda,3000000-44.2026.8.26.6914,Empresarial,Fernanda Lima,Parcial,2806.82,1966.44,78.5,2806.82,Dobra Legal
2025-07-01,Julho,2025,Nimbus SA,3000001-44.2026.8.26.4259,Família,Fernanda Lima,Parcial,6309.62,3814.53,54.8,6309.62,Dobra Legal
2025-07-01,Julho,2025,Forge Engenharia,3000002-44.2026.8.26.8987,Contratos,Carlos Nogueira,Em aberto,7486.43,6385.45,41.2,7486.43,Dobra Legal
2025-07-01,Julho,2025,Helix Saúde,3000003-44.2026.8.26.3745,Contratos,Juliana Alves,Recebido,7867.77,7714.09,61.3,7867.77,Dobra Legal
2025-07-01,Julho,2025,Orbit Educação,3000004-44.2026.8.26.3654,Empresarial,Rafael Mendes,Recebido,14775.07,8600.64,64.8,14775.07,Dobra Legal
2025-07-01,Julho,2025,Pulse Varejo,3000005-44.2026.8.26.8289,Empresarial,Fernanda Lima,Recebido,8364.90,6089.27,47.2,8364.90,Dobra Legal
2025-07-01,Julho,2025,Lumen Tech,3000006-44.2026.8.26.4844,Contratos,Juliana Alves,Em aberto,3972.37,2226.10,69.0,3972.37,Dobra Legal
2025-07-01,Julho,2025,Verde Agro,3000007-44.2026.8.26.2565,Cível,Carlos Nogueira,Recebido,2505.32,1825.55,10.3,2505.32,Dobra Legal
2025-07-01,Julho,2025,Costa Farma,3000008-44.2026.8.26.2702,Empresarial,Fernanda Lima,Recebido,12947.40,12924.18,65.0,12947.40,Dobra Legal
2025-07-01,Julho,2025,Delta Log,3000009-44.2026.8.26.5655,Tributário,Rafael Mendes,Recebido,11740.21,7764.13,81.0,11740.21,Dobra Legal
2025-07-01,Julho,2025,Aurora Moda,3000010-44.2026.8.26.6328,Tributário,Carlos Nogueira,Em aberto,2284.30,1623.17,55.0,2284.30,Dobra Legal
2025-07-01,Julho,2025,Pampa Alimentos,3000011-44.2026.8.26.9835,Trabalhista,Fernanda Lima,Parcial,8165.39,4987.44,62.9,8165.39,Dobra Legal
2025-07-01,Julho,2025,Serra Café,3000012-44.2026.8.26.9745,Empresarial,Juliana Alves,Recebido,21906.28,18355.35,27.8,21906.28,Dobra Legal
2025-07-01,Julho,2025,Maré Energia,3000013-44.2026.8.26.5256,Trabalhista,Juliana Alves,Recebido,2796.74,1998.56,53.5,2796.74,Dobra Legal
2025-07-01,Julho,2025,Céu Soft,3000014-44.2026.8.26.1136,Contratos,Carlos Nogueira,Em aberto,4296.37,3270.13,49.5,4296.37,Dobra Legal
2025-07-01,Julho,2025,Rio Branco,3000015-44.2026.8.26.4788,Cível,Fernanda Lima,Recebido,3205.00,2913.61,43.8,3205.00,Dobra Legal
2025-07-01,Julho,2025,Casa Norte,3000016-44.2026.8.26.7385,Tributário,Rafael Mendes,Recebido,21927.35,14525.85,44.7,21927.35,Dobra Legal
2025-07-01,Julho,2025,Sul Minas,3000017-44.2026.8.26.5454,Empresarial,Fernanda Lima,Em aberto,4646.14,4227.90,43.9,4646.14,Dobra Legal
2025-07-01,Julho,2025,Boa Vista,3000018-44.2026.8.26.8460,Família,Carlos Nogueira,Recebido,2469.83,1680.27,62.2,2469.83,Dobra Legal
2025-07-01,Julho,2025,Terra Nova,3000019-44.2026.8.26.9764,Cível,Rafael Mendes,Em aberto,4249.30,2628.05,32.5,4249.30,Dobra Legal
2025-08-01,Agosto,2025,Atlas Ltda,3000020-44.2026.8.26.4814,Cível,Rafael Mendes,Recebido,5048.27,4428.33,26.9,5048.27,Dobra Legal
2025-08-01,Agosto,2025,Nimbus SA,3000021-44.2026.8.26.7084,Tributário,Mariana Costa,Recebido,11752.62,10692.04,81.4,11752.62,Dobra Legal
2025-08-01,Agosto,2025,Forge Engenharia,3000022-44.2026.8.26.2169,Família,Carlos Nogueira,Recebido,3713.48,3338.58,85.9,3713.48,Dobra Legal
2025-08-01,Agosto,2025,Helix Saúde,3000023-44.2026.8.26.2998,Contratos,Rafael Mendes,Recebido,9108.55,8404.58,92.8,9108.55,Dobra Legal
2025-08-01,Agosto,2025,Orbit Educação,3000024-44.2026.8.26.8550,Contratos,Mariana Costa,Recebido,5093.68,2878.33,93.4,5093.68,Dobra Legal
2025-08-01,Agosto,2025,Pulse Varejo,3000025-44.2026.8.26.6293,Trabalhista,Mariana Costa,Parcial,12188.82,11976.08,55.8,12188.82,Dobra Legal
2025-08-01,Agosto,2025,Lumen Tech,3000026-44.2026.8.26.4255,Empresarial,Mariana Costa,Em aberto,2559.17,2142.88,26.9,2559.17,Dobra Legal
2025-08-01,Agosto,2025,Verde Agro,3000027-44.2026.8.26.1246,Trabalhista,Juliana Alves,Parcial,2537.32,1891.25,42.4,2537.32,Dobra Legal
2025-08-01,Agosto,2025,Costa Farma,3000028-44.2026.8.26.8786,Contratos,Fernanda Lima,Recebido,3618.08,2058.32,75.1,3618.08,Dobra Legal
2025-08-01,Agosto,2025,Delta Log,3000029-44.2026.8.26.6544,Contratos,Mariana Costa,Recebido,3919.34,2316.84,64.1,3919.34,Dobra Legal
2025-08-01,Agosto,2025,Aurora Moda,3000030-44.2026.8.26.4812,Empresarial,Fernanda Lima,Parcial,25435.52,15429.75,73.8,25435.52,Dobra Legal
2025-08-01,Agosto,2025,Pampa Alimentos,3000031-44.2026.8.26.7189,Empresarial,Rafael Mendes,Recebido,14124.19,7904.02,11.4,14124.19,Dobra Legal
2025-08-01,Agosto,2025,Serra Café,3000032-44.2026.8.26.9029,Trabalhista,Fernanda Lima,Recebido,13144.51,10439.77,38.2,13144.51,Dobra Legal
2025-08-01,Agosto,2025,Maré Energia,3000033-44.2026.8.26.3627,Cível,Fernanda Lima,Recebido,11548.70,10672.24,33.7,11548.70,Dobra Legal
2025-08-01,Agosto,2025,Céu Soft,3000034-44.2026.8.26.9289,Tributário,Rafael Mendes,Em aberto,8141.04,6141.07,61.9,8141.04,Dobra Legal
2025-08-01,Agosto,2025,Rio Branco,3000035-44.2026.8.26.2037,Contratos,Fernanda Lima,Em aberto,8963.82,5893.30,24.5,8963.82,Dobra Legal
2025-08-01,Agosto,2025,Casa Norte,3000036-44.2026.8.26.5638,Empresarial,Carlos Nogueira,Parcial,14307.25,8861.33,17.6,14307.25,Dobra Legal
2025-08-01,Agosto,2025,Sul Minas,3000037-44.2026.8.26.3126,Trabalhista,Mariana Costa,Recebido,24123.02,13742.88,50.2,24123.02,Dobra Legal
2025-08-01,Agosto,2025,Boa Vista,3000038-44.2026.8.26.7366,Contratos,Carlos Nogueira,Recebido,2280.09,1912.51,69.0,2280.09,Dobra Legal
2025-08-01,Agosto,2025,Terra Nova,3000039-44.2026.8.26.2161,Cível,Rafael Mendes,Parcial,6412.29,4163.66,88.8,6412.29,Dobra Legal
2025-09-01,Setembro,2025,Atlas Ltda,3000040-44.2026.8.26.6913,Família,Carlos Nogueira,Em aberto,2829.75,2369.95,77.1,2829.75,Dobra Legal
2025-09-01,Setembro,2025,Nimbus SA,3000041-44.2026.8.26.1666,Contratos,Mariana Costa,Em aberto,3277.79,2194.86,14.8,3277.79,Dobra Legal
2025-09-01,Setembro,2025,Forge Engenharia,3000042-44.2026.8.26.4784,Família,Carlos Nogueira,Recebido,5545.19,3292.20,53.8,5545.19,Dobra Legal
2025-09-01,Setembro,2025,Helix Saúde,3000043-44.2026.8.26.7802,Contratos,Mariana Costa,Parcial,4754.31,4641.99,58.2,4754.31,Dobra Legal
2025-09-01,Setembro,2025,Orbit Educação,3000044-44.2026.8.26.2705,Trabalhista,Rafael Mendes,Recebido,13951.85,10354.83,51.9,13951.85,Dobra Legal
2025-09-01,Setembro,2025,Pulse Varejo,3000045-44.2026.8.26.6772,Empresarial,Fernanda Lima,Em aberto,4681.15,3838.36,36.2,4681.15,Dobra Legal
2025-09-01,Setembro,2025,Lumen Tech,3000046-44.2026.8.26.6299,Família,Rafael Mendes,Parcial,7687.32,6418.60,26.6,7687.32,Dobra Legal
