data,mes,ano,ciclo,colaborador,gestor,departamento,cargo,tipo_contrato,faixa,potencial,status_ciclo,headcount,nota,atingimento,objetivos_count,quantidade,empresa
2025-06-30,Junho,2025,2025.1,Ana Costa,Sofia Carvalho,Comercial,SDR,CLT,Atende parcialmente,Médio,Concluído,1,2.62,78.7,7,4.4,Redorai
2025-06-30,Junho,2025,2025.1,Bruno Lima,Sofia Carvalho,Comercial,SDR,CLT,Não atende,Médio,Concluído,1,1.29,56.2,4,9.5,Redorai
2025-06-30,Junho,2025,2025.1,Carla Souza,Sofia Carvalho,Comercial,SDR,CLT,Atende,Médio,Concluído,1,3.34,99.8,5,8.5,Redorai
2025-06-30,Junho,2025,2025.1,Diego Alves,Sofia Carvalho,Comercial,SDR,CLT,Excepcional,Médio,Concluído,1,4.45,125.7,5,10.8,Redorai
2025-06-30,Junho,2025,2025.1,Eva Martins,Sofia Carvalho,Comercial,SDR,CLT,Excede,Alto,Concluído,1,3.93,119.6,5,10.4,Redorai
2025-06-30,Junho,2025,2025.1,Fábio Nunes,Sofia Carvalho,Comercial,SDR,CLT,Atende,Médio,Concluído,1,3.17,102.1,4,5.9,Redorai
2025-06-30,Junho,2025,2025.1,Gabriela Rocha,Sofia Carvalho,Comercial,SDR,CLT,Atende,Médio,Concluído,1,2.94,97.3,8,22.7,Redorai
2025-06-30,Junho,2025,2025.1,Henrique Dias,Sofia Carvalho,Comercial,SDR,CLT,Não atende,Médio,Concluído,1,2.01,72.8,4,18.5,Redorai
2025-06-30,Junho,2025,2025.1,Isabela Freitas,Sofia Carvalho,Comercial,Account Executive,CLT,Atende parcialmente,Médio,Concluído,1,2.82,87.1,8,16.1,Redorai
2025-06-30,Junho,2025,2025.1,João Mendes,Sofia Carvalho,Comercial,Account Executive,CLT,Excepcional,Alto,Concluído,1,4.89,138.0,6,25.2,Redorai
2025-06-30,Junho,2025,2025.1,Karina Lopes,Sofia Carvalho,Comercial,Account Executive,CLT,Atende parcialmente,Médio,Concluído,1,2.33,74.1,7,27.6,Redorai
